,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,ServiceAreaId,ServiceAreaName,CoverEntireState,County,PartialCounty,ZipCodes,PartialCountyJustification,RowNumber,MarketCoverage,DentalOnlyPlan,DentalOnly
19407,3529,2014,MO,32753,OPM,2,2013-11-27 09:24:34,32753,MO,MOS001,Central,No,29027.0,No,,,27,Individual,,No
37164,12412,2015,MI,34930,SERFF,3,2014-08-11 09:11:26,34930,MI,MIS002,Michigan PPO Only,No,26003.0,No,,,14,SHOP (Small Group),,Yes
21342,5464,2014,KS,61430,SERFF,7,2013-10-16 19:58:29,61430,KS,KSS002,CH&L-KS PPO,No,20047.0,No,,,57,Individual,,No
20341,4463,2014,IA,71268,SERFF,8,2014-01-23 12:49:01,71268,IA,IAS003,CoOportunity Preferred UI Health Alliance,No,19053.0,No,,,34,SHOP (Small Group),,No
6762,6762,2016,TX,71837,HIOS,5,2015-09-27 18:35:28,71837,TX,TXS001,Travis Service Area,No,48209.0,No,,,17,,,
21884,6006,2014,MI,45002,SERFF,9,2013-10-15 10:04:03,45002,MI,MIS001,Grand Traverse,No,26055.0,No,,,32,SHOP (Small Group),,No
37697,12945,2015,MI,41895,SERFF,8,2015-02-22 21:18:17,41895,MI,MIS001,CMI Preferred PPO,No,26083.0,No,,,18,SHOP (Small Group),,No
19856,3978,2014,PA,53789,OPM,2,2013-10-17 08:32:07,53789,PA,PAS002,OPM MSP Service Area 13,No,42097.0,No,,,29,Individual,,No
1124,1124,2016,GA,63940,HIOS,4,2015-08-19 14:41:20,63940,GA,GAS001,DentalGuard Preferred Group & Individual PPO,No,13259.0,No,,,103,,,
30694,5942,2015,PA,62560,HIOS,7,2014-12-12 09:23:47,62560,PA,PAS003,HMO 28 County,No,42125.0,No,,,45,,,
41120,16368,2015,VA,16064,SERFF,9,2014-11-13 16:11:17,16064,VA,VAS001,Anthem Health Plans of VA(Anthem BCBS)All,No,51790.0,No,,,128,SHOP (Small Group),,Yes
20958,5080,2014,IL,68303,SERFF,4,2014-01-22 11:51:12,68303,IL,ILS001,IL CPOS,No,17095.0,No,,,17,Individual,,No
32662,7910,2015,TX,40540,HIOS,4,2014-11-12 05:24:58,40540,TX,TXS001,Texas,Yes,,,,,13,,,
5879,5879,2016,TX,23891,HIOS,7,2015-08-26 09:56:12,23891,TX,TXS001,DHMO,No,48085.0,No,,,44,,,
6802,6802,2016,WI,94529,HIOS,6,2015-11-14 04:47:21,94529,WI,WIS002,GHC-SCW Individual HMO Select Network Service Area,No,55111.0,No,,,29,,,
471,471,2016,FL,30252,HIOS,8,2015-09-02 08:31:46,30252,FL,FLS001,BlueCare,No,12109.0,No,,,40,,,
10064,10064,2016,KS,61779,SERFF,3,2015-08-22 23:36:24,61779,KS,KSS001,DentalGuard Preferred PPO Group On & Off Exchange,No,20031.0,No,,,22,SHOP (Small Group),Yes,
16240,362,2014,GA,37001,HIOS,9,2014-03-19 07:06:49,37001,GA,GAS001,Georgia NPOS,No,13151.0,No,,,34,,,
41599,16847,2015,VA,88380,SERFF,21,2015-04-22 14:50:56,88380,VA,VAS017,"HealthKeepers, Inc(Anthem BCBS)09",No,51073.0,No,,,358,SHOP (Small Group),,No
6130,6130,2016,TX,26539,HIOS,13,2015-10-18 12:35:12,26539,TX,TXS001,FirstCare HMO Service Area,No,48185.0,No,,,53,,,
2640,2640,2016,MO,44527,HIOS,3,2015-08-11 02:55:25,44527,MO,MOS001,CoventryOne Silver/Bronze Exchange PPO Network,No,29181.0,No,,,61,,,
41392,16640,2015,VA,20507,SERFF,14,2014-11-15 10:06:04,20507,VA,VAS001,OHP Service Area,No,51195.0,No,,,134,Individual,,No
13337,13337,2016,OH,68158,SERFF,7,2015-08-20 12:28:36,68158,OH,OHS002,DentalGuard Preferred Group ON EXCHANGE & Individual ON & OFF EXCHANGE,No,39151.0,No,,,34,Individual,Yes,
13289,13289,2016,OH,67129,SERFF,5,2015-08-21 06:27:38,67129,OH,OHS001,OAMC_Ohio,No,39155.0,No,,,48,Individual,No,
2938,2938,2016,MS,48963,HIOS,7,2015-08-27 11:14:25,48963,MS,MSS004,Humana/ChoiceCare Network PPO,No,28067.0,No,,,33,,,
13605,13605,2016,OH,99969,SERFF,10,2015-08-27 03:52:03,99969,OH,OHS002,Not Toledo and Cincinnati,No,39091.0,No,,,56,Individual,No,
10269,10269,2016,MI,15560,SERFF,9,2015-08-28 13:59:00,15560,MI,MIS001,MI,Yes,,,,,13,Individual,No,
26351,1599,2015,GA,49046,HIOS,19,2015-01-16 17:32:32,49046,GA,GAS014,"BCBS Healthcare Plan of Georgia, Inc.13",No,13055.0,No,,,133,,,
11927,11927,2016,MI,74917,SERFF,6,2015-08-22 23:36:24,74917,MI,MIS001,Service Area E,No,26155.0,No,,,44,Individual,No,
5630,5630,2016,TN,90402,HIOS,2,2015-05-08 02:15:08,90402,TN,TNS001,DentalGuard Preferred Group PPO,No,47095.0,No,,,45,,,
38499,13747,2015,MI,98185,SERFF,5,2015-04-30 14:45:44,98185,MI,MIS003,Rural,No,26019.0,No,,,113,Individual,,No
15260,15260,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51025.0,No,,,26,Individual,No,
15249,15249,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51017.0,No,,,20,Individual,No,
12076,12076,2016,MI,75936,SERFF,4,2015-08-24 05:58:52,75936,MI,MIS002,Renaissance,No,26149.0,No,,,84,Individual,Yes,
14073,14073,2016,OR,63474,SERFF,7,2015-10-21 17:48:08,63474,OR,ORS003,Value PPO,No,41041.0,No,,,37,Individual,No,
21953,6075,2014,MI,66587,SERFF,3,2013-09-11 14:31:09,66587,MI,MIS001,DentalGuard Preferred,No,26109.0,No,,,62,SHOP (Small Group),,Yes
40443,15691,2015,OR,60013,SERFF,4,2014-10-06 10:59:03,60013,OR,ORS001,Oregon,No,41003.0,No,,,13,Individual,,Yes
14072,14072,2016,OR,63474,SERFF,7,2015-10-21 17:48:08,63474,OR,ORS003,Value PPO,No,41039.0,No,,,36,Individual,No,
21769,5891,2014,NE,15438,SERFF,5,2013-10-15 10:04:03,15438,NE,NES001,Nebraska 1,No,31043.0,No,,,34,Individual,,No
1594,1594,2016,IN,17575,HIOS,7,2015-08-26 09:56:12,17575,IN,INS012,Anthem Ins Companies Inc(Anthem BCBS)11,No,18065.0,No,,,67,,,
33182,8430,2015,MI,15560,OPM,3,2014-10-28 20:25:58,15560,MI,MIS001,MI,Yes,,,,,13,Individual,,No
4304,4304,2016,PA,32561,HIOS,3,2015-08-18 03:25:03,32561,PA,PAS002,DentalGuard Preferred Individual PPO ON & OFF,No,42101.0,No,,,41,,,
8644,8644,2016,IA,51902,SERFF,6,2015-10-21 17:48:08,51902,IA,IAS001,IA IEX Compass,No,19137.0,No,,,69,Individual,No,
17118,1240,2014,MS,48963,HIOS,10,2014-03-19 07:06:49,48963,MS,MSS004,Humana/ChoiceCare Network PPO,No,28097.0,No,,,39,,,
28348,3596,2015,MO,48786,HIOS,4,2014-08-27 03:27:11,48786,MO,MOS001,DentalGuard Preferred PPO- MO,No,29139.0,No,,,75,,,
35664,10912,2015,KS,61430,SERFF,10,2014-12-10 23:15:01,61430,KS,KSS001,PPO_Kansas_On Exchange,No,20005.0,No,,,15,Individual,,No
20647,4769,2014,ID,60597,SERFF,9,2013-10-16 19:58:29,60597,ID,IDS003,SmartHealth Network,No,16079.0,No,,,65,Individual,,No
28546,3794,2015,MS,48963,HIOS,16,2015-01-16 17:32:32,48963,MS,MSS006,Humana/ChoiceCare Network PPO 24,No,28079.0,No,,,93,,,
30774,6022,2015,PA,68711,HIOS,12,2015-02-12 14:27:33,68711,PA,PAS001,PA Marketplace Revised,No,42117.0,No,,,44,,,
5513,5513,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,TNS005,West,No,47045.0,No,,,62,,,
33881,9129,2015,PA,55957,OPM,3,2015-07-24 22:33:25,55957,PA,PAS201,Northeastern Pennsylvania,No,42079.0,No,,,13,Individual,,No
15692,15692,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS021,"HealthKeepers, Inc(Anthem BCBS)2, 4, 6, 9, 11, 12",No,51089.0,No,,,330,Individual,No,
13271,13271,2016,OH,67129,SERFF,5,2015-08-21 06:27:38,67129,OH,OHS001,OAMC_Ohio,No,39085.0,No,,,30,Individual,No,
