,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,StandardComponentId,PlanId,BenefitName,CopayInnTier1,CopayInnTier2,CopayOutofNet,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,IsEHB,IsStateMandate,IsCovered,QuantLimitOnSvc,LimitQty,LimitUnit,MinimumStay,Exclusions,Explanation,EHBVarReason,IsExclFromInnMOOP,IsExclFromOonMOOP,RowNumber,IsSubjToDedTier1,IsSubjToDedTier2
1703231,1703231,2016,UT,56764,SERFF,5,2015-08-27 15:13:29,56764,UT,56764UT0010001,56764UT0010001-01,Reconstructive Surgery,Not Applicable,,Not Applicable,No Charge after deductible,,100%,Yes,Yes,Covered,No,,,,,,,No,No,128,,
4330852,1361730,2015,IL,20129,SERFF,9,7/24/2015 22:33,20129,IL,20129IL0290013,20129IL0290013-03,Long-Term/Custodial Nursing Home Care,,,,,,,,,Not Covered,No,,,,,,,,,70,,
1720965,1720965,2016,UT,68781,SERFF,4,2015-08-27 03:52:03,68781,UT,68781UT0030010,68781UT0030010-00,Outpatient Surgery Physician/Surgical Services,Not Applicable,,Not Applicable,10% Coinsurance after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,65,,
2998284,29162,2015,GA,20544,HIOS,5,11/12/2014 5:24,20544,GA,20544GA0200046,20544GA0200046-02,Long-Term/Custodial Nursing Home Care,,,,,,,,,Not Covered,,,,,,,,,,70,,
508546,508546,2016,PA,16322,HIOS,3,2015-08-26 09:56:12,16322,PA,16322PA0060047,16322PA0060047-01,Chemotherapy,Not Applicable,Not Applicable,Not Applicable,No Charge after deductible,35% Coinsurance after deductible,40% Coinsurance after deductible,,,Covered,,,,,,,Substantially Equal,No,No,121,,
2347106,542853,2014,TX,40788,HIOS,6,2014-01-21 08:29:49,40788,TX,40788TX0180001,40788TX0180001-01,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,,,,68,,
1620916,1620916,2016,OH,77552,SERFF,11,2015-10-21 17:48:08,77552,OH,77552OH0020001,77552OH0020001-00,Emergency Room Services,$250 Copay after deductible,,$250 Copay after deductible,Not Applicable,,Not Applicable,Yes,Yes,Covered,,,,,,,,No,No,75,,
311532,311532,2016,LA,97176,HIOS,6,2015-08-26 09:56:12,97176,LA,97176LA0350002,97176LA0350002-00,Eye Glasses for Children,No Charge,,Not Applicable,No Charge,,100%,Yes,,Covered,Yes,1.0,Item(s) per Year,,,"Pediatric selection of eyeglass frames or if a member chooses a Non-Selection frame he/she will pay the difference in retail price between the Selection and the Non-Selection frame.  Prescription Contact Lenses may be selected in lieu of eyeglasses from the Pediatric Selection of Contact Lenses up to a maximum of 2 pairs of disposable or 2 pairs of planned replacement Contact Lenses.  If a member chooses Non-Selection Contact Lenses he/she will pay the difference in retail price between the Selection and the Non-Selection contact lenses.   Evaluation, fitting and follow-up care up to 1 visit are included when Prescription Contact Lenses are selected in lieu of eyeglasses.",Substantially Equal,No,No,103,,
3494358,525236,2015,ND,73751,HIOS,5,11/15/2014 4:52,73751,ND,73751ND0080005,73751ND0080005-01,Routine Eye Exam for Children,$60,,No Charge,No Charge,,50% Coinsurance after deductible,Yes,,Covered,Yes,1.0,Visit(s) per Year,,,,,No,Yes,102,No,No
3528108,558986,2015,OK,87571,HIOS,11,2/19/2015 6:21,87571,OK,87571OK0330017,87571OK0330017-01,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,Dental Only Plan Available,,,68,,
929020,929020,2016,WI,39924,HIOS,5,2015-08-27 11:14:25,39924,WI,39924WI0030008,39924WI0030008-03,Laboratory Outpatient and Professional Services,Not Applicable,,Not Applicable,No Charge after deductible,,100%,Yes,,Covered,No,,,,,,,No,Yes,108,,
3193647,224525,2015,AZ,60761,HIOS,13,1/21/2015 9:35,60761,AZ,60761AZ0350001,60761AZ0350001-00,Orthodontia - Child,,,,,,,,,Not Covered,,,,,,,,,,111,No,No
119227,119227,2016,FL,27357,HIOS,4,2015-10-20 04:38:50,27357,FL,27357FL1880015,27357FL1880015-05,Major Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,115,,
4020492,1051370,2015,WI,37833,HIOS,7,11/9/2014 4:38,37833,WI,37833WI0380033,37833WI0380033-04,Nutritional Counseling,$20,,No Charge,No Charge,,100%,,,Covered,,,,,,,Additional EHB Benefit,No,Yes,127,No,No
3302748,333626,2015,AZ,91450,HIOS,7,4/22/2015 11:06,91450,AZ,91450AZ0090007,91450AZ0090007-00,Mental/Behavioral Health Inpatient Services,No Charge,,$0,20% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,Yes,85,Yes,No
4940799,1971677,2015,OR,63474,SERFF,11,12/10/2014 23:15,63474,OR,63474OR0210001,63474OR0210001-00,Orthodontia - Adult,,,,,,,,,Not Covered,,,,,,,,,,114,,
602386,602386,2016,SC,49532,HIOS,4,2015-08-22 15:09:32,49532,SC,49532SC0370035,49532SC0370035-00,Non-Preferred Brand Drugs,No Charge after deductible,,Not Applicable,50% Coinsurance after deductible,,50%,Yes,,Covered,,,,,,,,No,No,90,,
4684578,1715456,2015,NH,61163,SERFF,9,1/16/2015 20:59,61163,NH,61163NH0030001,61163NH0030001-03,Dental Anesthesia,$0,,$0,20% Coinsurance after deductible,,100%,,,Covered,No,,,,,,Above EHB,No,No,132,Yes,No
217239,217239,2016,GA,82824,HIOS,8,2015-10-18 12:35:12,82824,GA,82824GA0100021,82824GA0100021-01,Basic Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,113,,
4287564,1318442,2015,PA,53789,OPM,8,1/23/2015 12:43,53789,PA,53789PA0040001,53789PA0040001-01,Preventive Care/Screening/Immunization,No Charge,No Charge,No Charge,No Charge,No Charge,100%,Yes,Yes,Covered,,,,,,Age and frequency schedules may apply,,No,No,98,No,No
3452636,483514,2015,MS,48963,HIOS,16,1/16/2015 17:32,48963,MS,48963MS0500011,48963MS0500011-03,Emergency Transportation/Ambulance,No Charge,,$0,No Charge after deductible,,No Charge after deductible,Yes,,Covered,No,,,,,,,No,No,76,Yes,Yes
621226,621226,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,14002TN0190068,14002TN0190068-01,Abortion for Which Public Funding is Prohibited,,,,,,,,,,,,,,,,,,,116,,
15941,15941,2016,AL,68259,HIOS,6,2015-08-26 09:56:12,68259,AL,68259AL0040006,68259AL0040006-04,Specialist Visit,$40,,Not Applicable,Not Applicable,,100%,Yes,,Covered,No,,,,,,Substantially Equal,No,Yes,62,,
2106234,301981,2014,LA,67243,HIOS,9,2014-01-21 08:29:49,67243,LA,67243LA0090004,67243LA0090004-00,Substance Abuse Disorder Inpatient Services,No Charge,,No Charge,0% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,Yes,87,Yes,No
167861,167861,2016,FL,56503,HIOS,7,2015-10-20 04:38:50,56503,FL,56503FL2550001,56503FL2550001-04,Prosthetic Devices,No Charge,,Not Applicable,Not Applicable,,100%,,,Covered,,,,,,,Above EHB,No,No,124,,
2731613,927360,2014,MI,67577,SERFF,5,2013-11-27 09:24:34,67577,MI,67577MI0410003,67577MI0410003-01,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,Bundled Options Available  Off Exch,,,,68,,
4445256,1476134,2015,IL,68432,SERFF,6,2/22/2015 21:18,68432,IL,68432IL0050003,68432IL0050003-02,Cosmetic Surgery,$0,,$0,0%,,100%,Yes,,Covered,,,,,,,,No,No,80,Yes,Yes
2745114,940861,2014,MT,30751,SERFF,6,2014-01-21 11:24:32,30751,MT,30751MT0570002,30751MT0570002-01,Rehabilitative Speech Therapy,No Charge,,No Charge,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,105,Yes,Yes
4875337,1906215,2015,OH,33931,SERFF,5,12/11/2014 11:35,33931,OH,33931OH0030002,33931OH0030002-01,Laboratory Outpatient and Professional Services,No Charge,,No Charge,10% Coinsurance after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,108,Yes,Yes
2926984,1122731,2014,UT,68781,SERFF,6,2014-03-18 09:48:59,68781,UT,68781UT0030014,68781UT0030014-03,Rehabilitative Occupational and Rehabilitative Physical Therapy,$40 Copay after deductible,,$0,No Charge,,100%,,,Covered,Yes,40.0,Days per Year,,,"Outpatient Physical, Speech, and Occupational Rehabilitation and Habilitation Services separate limit of 20 visits. Inpatient Physical, Speech, and Occupational Rehabilitation Services combined limit of 40 days.",Additional EHB Benefit,No,No,106,Yes,No
4364035,1394913,2015,IL,36096,SERFF,10,2/22/2015 21:18,36096,IL,36096IL0790013,36096IL0790013-00,"Imaging (CT/PET Scans, MRIs)",No Charge,,No Charge,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,97,Yes,Yes
4860220,1891098,2015,OH,29276,SERFF,9,4/22/2015 14:50,29276,OH,29276OH0740029,29276OH0740029-01,Nutritional Counseling,No Charge,No Charge,No Charge,25% Coinsurance after deductible,25% Coinsurance after deductible,50% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,127,Yes,Yes
2753795,949542,2014,NE,15438,SERFF,5,2013-10-15 10:04:03,15438,NE,15438NE0170003,15438NE0170003-03,Long-Term/Custodial Nursing Home Care,,,,,,,,,Not Covered,,,,,,,,,,70,,
1061213,1061213,2016,WY,11269,HIOS,5,2015-10-18 12:35:12,11269,WY,11269WY0170015,11269WY0170015-02,Inpatient Rehabilitation,Not Applicable,,Not Applicable,0%,,0%,,,Covered,Yes,45.0,Days per Year,,,"Covered for accidental or medical injury (e.g. stroke, spinal cord injury, closed or open head injury)",Additional EHB Benefit,No,No,141,,
