,Unnamed: 0,State,DentalPlan,PlanID_2015,IssuerID_2015,MultistatePlan_2015,MetalLevel_2015,ChildAdultOnly_2015,FIPSCode,ZipCode,CrosswalkLevel,ReasonForCrosswalk,PlanID_2016,IssuerID_2016,MultistatePlan_2016,MetalLevel_2016,ChildAdultOnly_2016,AgeOffPlanID_2016,IssuerID_AgeOff2016,MultistatePlan_AgeOff2016,MetalLevel_AgeOff2016,ChildAdultOnly_AgeOff2016,PlanID_2014,IssuerID_2014,MultistatePlan_2014,MetalLevel_2014,ChildAdultOnly_2014,AgeOffPlanID_2015,IssuerID_AgeOff2015,MultistatePlan_AgeOff2015,MetalLevel_AgeOff2015,ChildAdultOnly_AgeOff2015
10675,10675,NE,N,15438NE0180011,15438,N,Silver,0,31151,0,1,2,15438NE0180002,15438.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
222824,72819,NM,N,75605NM0350005,75605,Y,Bronze,0,35021,0,0,0,,,,,,,,,,,75605NM0350005,75605.0,Y,Bronze,0.0,00000XX0000000,0.0,X,X,X
211061,61056,NC,N,11512NC0100038,11512,N,Gold,0,37019,0,0,0,,,,,,,,,,,11512NC0100038,11512.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
98821,98821,TX,Y,63141TX0760001,63141,N,Low,0,48313,0,0,0,63141TX0760001,63141.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
176224,26219,IL,N,20129IL0290013,20129,N,Bronze,0,17113,0,1,2,,,,,,,,,,,20129IL0290002,20129.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
30759,30759,TX,Y,24349TX0010006,24349,N,Low,0,48197,0,0,0,24349TX0010006,24349.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
187097,37092,KS,N,18558KS0360035,18558,N,Bronze,0,20113,0,0,0,,,,,,,,,,,18558KS0360035,18558.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
24691,24691,VA,N,20507VA1170002,20507,N,Silver,0,51127,0,2,2,20507VA1170008,20507.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
225719,75714,OH,N,41047OH0020008,41047,N,Silver,0,39061,0,0,0,,,,,,,,,,,41047OH0020008,41047.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
268719,118714,VA,Y,00000XX0000000,0,X,X,X,51031,0,4,5,,,,,,,,,,,13756VA0020001,13756.0,N,Low,1.0,00000XX0000000,0.0,X,X,X
140238,140238,OR,N,96383OR0010002,96383,N,Silver,0,41057,0,0,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
110266,110266,IA,N,71268IA0050004,71268,N,Silver,0,19071,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
40155,40155,OH,Y,29276OH0830004,29276,N,High,0,39125,0,0,0,29276OH0830004,29276.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
188362,38357,KS,N,61430KS0100004,61430,N,Bronze,0,20191,0,1,2,,,,,,,,,,,61430KS0100005,61430.0,N,Catastrophic,0.0,00000XX0000000,0.0,X,X,X
2142,2142,MS,Y,11324MS0020006,11324,N,Low,0,28081,0,0,0,11324MS0020006,11324.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
143596,143596,MS,N,97560MS0030008,97560,N,Silver,0,28029,0,1,6,97560MS0040005,97560.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
151910,1905,AL,N,46944AL0370001,46944,N,Gold,0,1081,0,0,0,,,,,,,,,,,46944AL0370001,46944.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
104906,104906,AL,N,68259AL0030002,68259,N,Gold,0,1075,0,1,6,68259AL0040004,68259.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
226807,76802,OH,N,92036OH0530007,92036,N,Silver,0,39063,0,1,1,,,,,,,,,,,92036OH0050015,92036.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
101870,101870,TN,N,66842TN0050023,66842,N,Silver,0,47019,0,2,4,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
227474,77469,OH,N,99969OH0040002,99969,N,Gold,1,39013,0,0,0,,,,,,,,,,,99969OH0040002,99969.0,N,Gold,1.0,99969OH0040001,99969.0,,Gold,2
134137,134137,WI,Y,90028WI0420004,90028,N,High,0,55091,0,0,0,90028WI0420004,90028.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
176123,26118,IL,N,20129IL0290013,20129,N,Bronze,0,17095,0,1,2,,,,,,,,,,,20129IL0290001,20129.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
154957,4952,AR,N,75293AR0290001,75293,Y,Bronze,0,5079,0,0,0,,,,,,,,,,,75293AR0290001,75293.0,Y,Bronze,0.0,00000XX0000000,0.0,X,X,X
254304,104299,TX,N,33602TX0420001,33602,N,Gold,0,48045,0,0,0,,,,,,,,,,,33602TX0420001,33602.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
94277,94277,IA,Y,61284IA0010009,61284,N,Low,0,19103,0,0,0,61284IA0010009,61284.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
59258,59258,IL,Y,36096IL0830001,36096,N,High,0,17085,0,0,0,36096IL0830001,36096.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
146090,146090,MI,N,98185MI0180004,98185,N,Silver,0,26065,0,2,0,98185MI0180004,98185.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
115924,115924,NM,N,75605NM0330002,75605,N,Gold,0,35028,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
42698,42698,MI,N,29698MI0570001,29698,N,Gold,0,26045,0,3,2,29698MI0570021,29698.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
127200,127200,GA,Y,86637GA0010006,86637,N,Low,0,13207,0,0,0,86637GA0010006,86637.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
15694,15694,IN,N,17575IN0700020,17575,N,Bronze,0,18133,0,0,0,17575IN0700020,17575.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
158555,8550,FL,N,16842FL0070102,16842,N,Platinum,0,12111,0,0,0,,,,,,,,,,,16842FL0070102,16842.0,N,Platinum,0.0,00000XX0000000,0.0,X,X,X
3257,3257,NC,N,11512NC0060025,11512,N,Silver,0,37019,0,2,2,11512NC0060019,11512.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
2698,2698,NC,N,11512NC0060019,11512,N,Silver,0,37009,0,2,0,11512NC0060019,11512.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
100137,100137,KS,Y,63790KS0020003,63790,N,High,0,20123,0,0,0,63790KS0020003,63790.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
49271,49271,TX,N,33602TX0420002,33602,N,Gold,0,48269,0,2,6,33602TX0770007,33602.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
208961,58956,MT,N,32225MT0030001,32225,N,Catastrophic,0,30021,0,0,0,,,,,,,,,,,32225MT0030001,32225.0,N,Catastrophic,0.0,32225MT0010003,32225.0,,Bronze,0
48928,48928,IN,N,33380IN0020003,33380,N,Silver,0,18119,0,0,0,33380IN0020003,33380.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
255723,105718,TX,N,33602TX0420006,33602,N,Bronze,0,48343,0,0,0,,,,,,,,,,,33602TX0420006,33602.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
229464,79459,OK,N,00000XX0000000,0,X,X,X,40083,0,4,5,,,,,,,,,,,53524OK0050003,53524.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
18010,18010,KS,N,18558KS0360023,18558,N,Silver,0,20121,0,1,2,18558KS0360021,18558.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
129772,129772,OK,N,87571OK0320004,87571,N,Silver,0,40013,0,1,2,87571OK0320069,87571.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
26657,26657,TN,Y,22384TN0010004,22384,N,High,0,47007,0,0,0,22384TN0010004,22384.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
213501,63496,ND,N,37160ND2410013,37160,N,Silver,0,38021,0,0,0,,,,,,,,,,,37160ND2410013,37160.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
212038,62033,NC,Y,94482NC0020006,94482,N,Low,0,37051,0,2,0,,,,,,,,,,,94482NC0020006,94482.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
50580,50580,TX,N,33602TX0420010,33602,N,Catastrophic,0,48075,0,2,6,33602TX0460396,33602.0,N,Catastrophic,0,33602TX0460371,33602.0,N,Bronze,0,,,,,,,,,,
56869,56869,IN,N,35065IN0020007,35065,N,Silver,0,18057,0,1,6,76179IN0120004,76179.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
48345,48345,MO,N,32753MO0770026,32753,N,Gold,0,29007,0,0,0,32753MO0770026,32753.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
15175,15175,FL,N,16842FL0070108,16842,N,Bronze,0,12071,0,0,0,16842FL0070108,16842.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
129400,129400,OK,N,87571OK0310003,87571,Y,Silver,0,40115,0,2,6,87571OK0460011,87571.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
26452,26452,TN,Y,22384TN0010002,22384,N,High,1,47155,0,0,0,22384TN0010002,22384.0,N,High,1,22384TN0010004,22384.0,N,High,0,,,,,,,,,,
136929,136929,NM,N,93091NM0010002,93091,N,Silver,0,35047,0,0,0,93091NM0010002,93091.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
209471,59466,MT,Y,93895MT0020005,93895,N,Low,0,30033,0,0,0,,,,,,,,,,,93895MT0020005,93895.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
12213,12213,PA,Y,15614PA0010002,15614,N,Low,0,42063,0,2,2,15614PA0010004,15614.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
176464,26459,IL,N,20129IL0300013,20129,N,Gold,0,17019,0,1,2,,,,,,,,,,,20129IL0300002,20129.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
261321,111316,TX,N,40788TX0180001,40788,N,Silver,0,48293,0,0,0,,,,,,,,,,,40788TX0180001,40788.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
266814,116809,UT,Y,42757UT0020005,42757,N,Low,0,49045,0,0,0,,,,,,,,,,,42757UT0020005,42757.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
271605,121600,VA,N,00000XX0000000,0,X,X,X,51101,0,2,4,,,,,,,,,,,38234VA0060008,38234.0,N,Catastrophic,0.0,00000XX0000000,0.0,X,X,X
187604,37599,KS,N,18558KS0360042,18558,N,Catastrophic,0,20097,0,0,0,,,,,,,,,,,18558KS0360042,18558.0,N,Catastrophic,0.0,18558KS0360036,18558.0,,Bronze,0
64255,64255,LA,N,38499LA0030004,38499,N,Gold,0,22095,0,1,6,38499LA0040004,38499.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
237642,87637,SC,N,26065SC0380005,26065,N,Bronze,0,45011,0,0,0,,,,,,,,,,,26065SC0380005,26065.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
44733,44733,MT,N,30751MT0570002,30751,Y,Gold,0,30105,0,1,2,30751MT0570006,30751.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
30074,30074,TX,Y,24349TX0010001,24349,N,Low,1,48291,0,1,2,24349TX0010006,24349.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
61890,61890,WI,N,37833WI0380024,37833,N,Gold,0,55103,0,0,0,37833WI0380024,37833.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
161625,11620,FL,N,30252FL0020070,30252,N,Silver,0,12023,0,1,2,,,,,,,,,,,30252FL0020071,30252.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
43627,43627,FL,Y,30115FL0020001,30115,N,High,1,12109,0,0,0,30115FL0020001,30115.0,N,High,1,30115FL0050001,30115.0,N,High,0,,,,,,,,,,
28685,28685,TX,Y,23749TX0010004,23749,N,High,0,48203,0,0,0,23749TX0010004,23749.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
229532,79527,OK,N,00000XX0000000,0,X,X,X,40087,0,4,5,,,,,,,,,,,53524OK0050004,53524.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
75389,75389,NE,Y,45550NE0090001,45550,N,High,1,31047,0,0,0,45550NE0090001,45550.0,N,High,1,00000XX0000000,0.0,X,X,X,,,,,,,,,,
89866,89866,AZ,Y,58292AZ0010001,58292,N,Low,1,4017,0,1,2,58292AZ0010006,58292.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
206972,56967,MS,N,94237MS0030012,94237,N,Bronze,0,28039,0,0,0,,,,,,,,,,,94237MS0030012,94237.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
92921,92921,SD,N,60536SD0020017,60536,N,Platinum,0,46041,0,1,2,60536SD0020006,60536.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
100178,100178,KS,Y,63790KS0020004,63790,N,High,0,20053,0,0,0,63790KS0020004,63790.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
181506,31501,IN,N,17575IN0700024,17575,N,Bronze,0,18035,0,1,2,,,,,,,,,,,17575IN0700004,17575.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
268171,118166,UT,Y,68809UT0010005,68809,N,Low,0,49001,0,0,0,,,,,,,,,,,68809UT0010005,68809.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
49833,49833,TX,N,33602TX0420004,33602,N,Silver,0,48335,0,2,6,33602TX0770032,33602.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
195359,45354,MI,N,29241MI0270065,29241,N,Silver,0,26055,0,3,0,,,,,,,,,,,29241MI0270065,29241.0,N,Silver,2.0,00000XX0000000,0.0,X,X,X
215327,65322,NE,N,15438NE0180005,15438,N,Bronze,0,31063,0,2,0,,,,,,,,,,,15438NE0180005,15438.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
202099,52094,MO,N,32753MO0770020,32753,N,Silver,0,29109,0,1,2,,,,,,,,,,,32753MO0770007,32753.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
117885,117885,OK,Y,77760OK0010004,77760,N,Low,0,40133,0,0,0,77760OK0010004,77760.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
202775,52770,MO,Y,32753MO0860004,32753,N,High,0,29097,0,1,6,,,,,,,,,,,32753MO0840002,32753.0,N,High,1.0,00000XX0000000,0.0,X,X,X
149698,149698,OH,Y,99969OH0060002,99969,N,High,1,39009,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
34103,34103,AR,Y,26904AR0020003,26904,N,High,0,5069,0,0,0,26904AR0020003,26904.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
